"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"bayesplot","bayesplot","C:/Program Files/R/R-4.1.2/library","1.8.1",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.2"
"bbmle","bbmle","C:/Program Files/R/R-4.1.2/library","1.0.24",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.1.1"
"BCDAG","BCDAG","C:/Program Files/R/R-4.1.2/library","1.0.0",NA,"R (>= 2.10)","graphics, gRbase, grDevices, lattice, methods, mvtnorm, stats,
utils",NA,"rmarkdown, knitr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"bdsmatrix","bdsmatrix","C:/Program Files/R/R-4.1.2/library","1.3-4",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.1.1"
"BH","BH","C:/Program Files/R/R-4.1.2/library","1.75.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.1.1"
"BiocGenerics","BiocGenerics","C:/Program Files/R/R-4.1.2/library","0.40.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"BiocManager","BiocManager","C:/Program Files/R/R-4.1.2/library","1.30.18",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.3"
"BiocVersion","BiocVersion","C:/Program Files/R/R-4.1.2/library","3.14.0",NA,"R (>= 4.1.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"bit","bit","C:/Program Files/R/R-4.1.2/library","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"bit64","bit64","C:/Program Files/R/R-4.1.2/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"bitops","bitops","C:/Program Files/R/R-4.1.2/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"blob","blob","C:/Program Files/R/R-4.1.2/library","1.2.2",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"Boom","Boom","C:/Program Files/R/R-4.1.2/library","0.9.7",NA,"MASS, R(>= 3.5.0)",NA,NA,"testthat",NA,"LGPL-2.1 | file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"BoomSpikeSlab","BoomSpikeSlab","C:/Program Files/R/R-4.1.2/library","1.2.4",NA,"Boom (>= 0.9.7) , R (>= 3.5.0)",NA,"Boom(>= 0.9.7)","MASS, testthat, mlbench, igraph",NA,"LGPL-2.1 | file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"boot","boot","C:/Program Files/R/R-4.1.2/library","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.1.2"
"brew","brew","C:/Program Files/R/R-4.1.2/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.1"
"brio","brio","C:/Program Files/R/R-4.1.2/library","1.1.2",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"broman","broman","C:/Program Files/R/R-4.1.2/library","0.76",NA,"R (>= 2.15.0)","utils, graphics, grDevices, stats, ggplot2, grid",NA,"testthat, devtools, roxygen2",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"broom","broom","C:/Program Files/R/R-4.1.2/library","0.7.11",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0), ggplot2",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, cmprsk, coda, covr, drc, e1071,
emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam (>=
1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc, irlba,
joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps, lfe,
lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"broom.helpers","broom.helpers","C:/Program Files/R/R-4.1.2/library","1.6.0",NA,NA,"broom, cli, dplyr, labelled, lifecycle, purrr, rlang, stats,
stringr, tibble, tidyr",NA,"brms (>= 2.13.0), broom.mixed, cmprsk, covr, datasets,
emmeans, lfe, forcats, gam, gee, geepack, ggplot2, glmmTMB,
glue, gt, gtsummary, knitr, lavaan, lme4, MASS, mgcv, mice,
nnet, ordinal, parameters, plm, rmarkdown, rstanarm, spelling,
survey, survival, testthat, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"broom.mixed","broom.mixed","C:/Program Files/R/R-4.1.2/library","0.2.7",NA,NA,"broom, coda, dplyr, methods, nlme, purrr, stringr, tibble,
tidyr",NA,"brms, dotwhisker, knitr, testthat, gamlss, gamlss.data,
ggplot2, GLMMadaptive, glmmADMB, glmmTMB, lmerTest, lme4,
Matrix, MCMCglmm, mgcv, pander, pbkrtest, rstan, rstanarm,
R2jags, TMB, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"bslib","bslib","C:/Program Files/R/R-4.1.2/library","0.3.1",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.2), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"bsts","bsts","C:/Program Files/R/R-4.1.2/library","0.9.7",NA,"BoomSpikeSlab (>= 1.2.4), zoo (>= 1.8), xts, Boom (>= 0.9.7),
R(>= 3.4.0)",NA,"Boom (>= 0.9.7)","testthat",NA,"LGPL-2.1 | file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"butcher","butcher","C:/Program Files/R/R-4.1.2/library","0.1.5",NA,"R (>= 3.1)","fs, lobstr (>= 1.1.1), methods, purrr, rlang, tibble (>=
2.1.1), usethis (>= 1.5.0), utils",NA,"C50, caret, clisymbols, covr, ddalpha, dimRed, dplyr, e1071,
earth, fastICA, flexsurv, ipred, kernlab, kknn, knitr, MASS,
mda, modeldata, NMF, nnet, parsnip (>= 0.1.6), pkgload, pls,
QSARdata, randomForest, ranger, RANN, recipes, rmarkdown,
rpart, rsample, RSpectra, survival (>= 3.2-10), testthat (>=
2.1.0), TH.data, xgboost (>= 1.3.2.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"C50","C50","C:/Program Files/R/R-4.1.2/library","0.1.5",NA,"R (>= 2.10.0)","partykit, Cubist (>= 0.3.0)",NA,"covr, knitr, modeldata, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"cachem","cachem","C:/Program Files/R/R-4.1.2/library","1.0.6",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"callr","callr","C:/Program Files/R/R-4.1.2/library","3.7.0",NA,NA,"processx (>= 3.5.0), R6, utils",NA,"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"car","car","C:/Program Files/R/R-4.1.2/library","3.0-12",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, lme4 (>=
1.1-27.1), nlme",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), rio, sandwich, SparseM,
survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"carData","carData","C:/Program Files/R/R-4.1.2/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"caret","caret","C:/Program Files/R/R-4.1.2/library","6.0-90",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"CausalImpact","CausalImpact","C:/Program Files/R/R-4.1.2/library","1.2.7",NA,"bsts (>= 0.9.0)","assertthat (>= 0.2.0), Boom, dplyr, ggplot2, zoo",NA,"knitr, rmarkdown, testthat",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"cellranger","cellranger","C:/Program Files/R/R-4.1.2/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"censored","censored","C:/Program Files/R/R-4.1.2/library","0.0.0.9000",NA,"parsnip (>= 0.1.7.9001), R (>= 2.10)","dials, dplyr (>= 0.8.0.1), flexsurv, generics, glue, ipred,
mboost, methods, pec, prettyunits, purrr, rlang, stats,
survival, tibble (>= 3.1.3), tidyr (>= 1.0.0), withr",NA,"covr, glmnet, party, riskRegression, rpart, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"checkmate","checkmate","C:/Program Files/R/R-4.1.2/library","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"chron","chron","C:/Program Files/R/R-4.1.2/library","2.3-57",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","4.1.3"
"class","class","C:/Program Files/R/R-4.1.2/library","7.3-19","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"classInt","classInt","C:/Program Files/R/R-4.1.2/library","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"cli","cli","C:/Program Files/R/R-4.1.2/library","3.1.0",NA,"R (>= 2.10)","glue, utils",NA,"asciicast, callr, covr, grDevices, htmltools, htmlwidgets,
knitr, methods, mockery, processx, ps (>= 1.3.4.9000), rlang,
rmarkdown, rstudioapi, shiny, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"clipr","clipr","C:/Program Files/R/R-4.1.2/library","0.7.1",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"cluster","cluster","C:/Program Files/R/R-4.1.2/library","2.1.2","recommended","R (>= 3.4.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"ClustGeo","ClustGeo","C:/Program Files/R/R-4.1.2/library","2.1",NA,"R (>= 3.0.0)","graphics, stats, sp, spdep",NA,"knitr, rmarkdown",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.1.3"
"cmprsk","cmprsk","C:/Program Files/R/R-4.1.2/library","2.2-10",NA,"R (>= 3.0.0), survival",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"coda","coda","C:/Program Files/R/R-4.1.2/library","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"codetools","codetools","C:/Program Files/R/R-4.1.2/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.2"
"coefplot","coefplot","C:/Program Files/R/R-4.1.2/library","1.2.8",NA,"ggplot2 (>= 2.0.0)","plyr, reshape2, useful, stats, dplyr (>= 0.6.0), dygraphs,
tibble, magrittr, purrr, plotly",NA,"testthat (>= 2.0.0), covr, glmnet, maxLik, xgboost,
workflows, parsnip, knitr, rmarkdown",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"colorspace","colorspace","C:/Program Files/R/R-4.1.2/library","2.0-2",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"colourpicker","colourpicker","C:/Program Files/R/R-4.1.2/library","1.1.1",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"comat","comat","C:/Program Files/R/R-4.1.2/library","0.9.3",NA,"R (>= 2.10)","Rcpp","Rcpp, RcppArmadillo","tinytest, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"commonmark","commonmark","C:/Program Files/R/R-4.1.2/library","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"compiler","compiler","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,NA,NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,NA,"4.1.2"
"CompQuadForm","CompQuadForm","C:/Program Files/R/R-4.1.2/library","1.4.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"conflicted","conflicted","C:/Program Files/R/R-4.1.2/library","1.0.4",NA,"R (>= 3.2)","rlang (>= 0.3.4), memoise",NA,"covr, crayon, dplyr, pkgdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"conquer","conquer","C:/Program Files/R/R-4.1.2/library","1.0.2",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"corrplot","corrplot","C:/Program Files/R/R-4.1.2/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"COVID19","COVID19","C:/Program Files/R/R-4.1.2/library","3.0.2",NA,NA,"tools, utils, R.utils, data.table",NA,"RSQLite, wbstats (>= 1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"cpp11","cpp11","C:/Program Files/R/R-4.1.2/library","0.4.0",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"crayon","crayon","C:/Program Files/R/R-4.1.2/library","1.4.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"credentials","credentials","C:/Program Files/R/R-4.1.2/library","1.3.1",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"crosstalk","crosstalk","C:/Program Files/R/R-4.1.2/library","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"crul","crul","C:/Program Files/R/R-4.1.2/library","1.2.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"Cubist","Cubist","C:/Program Files/R/R-4.1.2/library","0.3.0",NA,"lattice","reshape2, utils",NA,"mlbench, knitr, modeldata, dplyr (>= 0.7.4), rlang,
tidyrules, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"curl","curl","C:/Program Files/R/R-4.1.2/library","4.3.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"data.table","data.table","C:/Program Files/R/R-4.1.2/library","1.14.2",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"datasets","datasets","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,NA,NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,NA,"4.1.2"
"DBI","DBI","C:/Program Files/R/R-4.1.2/library","1.1.1",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, dbplyr, dplyr, glue, hms, knitr, magrittr,
rmarkdown, rprojroot, RMariaDB, RSQLite (>= 1.1-2), testthat,
xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"dbplyr","dbplyr","C:/Program Files/R/R-4.1.2/library","2.1.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"deldir","deldir","C:/Program Files/R/R-4.1.2/library","1.0-6",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"desc","desc","C:/Program Files/R/R-4.1.2/library","1.4.0",NA,"R (>= 3.1.0)","utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr, spelling, gh",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"deSolve","deSolve","C:/Program Files/R/R-4.1.2/library","1.30",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"devtools","devtools","C:/Program Files/R/R-4.1.2/library","2.4.2",NA,"R (>= 3.0.2), usethis (>= 2.0.1)","callr (>= 3.6.0), cli (>= 2.4.0), desc (>= 1.3.0), ellipsis
(>= 0.3.1), fs (>= 1.5.0), httr (>= 1.4.2), lifecycle (>=
1.0.0), memoise (>= 2.0.0), pkgbuild (>= 1.2.0), pkgload (>=
1.2.1), rcmdcheck (>= 1.3.3), remotes (>= 2.3.0), rlang (>=
0.4.10), roxygen2 (>= 7.1.1), rstudioapi (>= 0.13), rversions
(>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat (>= 3.0.2),
tools, utils, withr (>= 2.4.1)",NA,"BiocManager (>= 1.30.12), covr (>= 3.5.1), curl (>= 4.3),
digest (>= 0.6.27), DT (>= 0.17), foghorn (>= 1.3.2), gh (>=
1.2.1), gmailr (>= 1.0.0), knitr (>= 1.31), lintr (>= 2.0.1),
MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown (>= 1.6.1),
rhub (>= 1.1.1), rmarkdown (>= 2.7), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"dials","dials","C:/Program Files/R/R-4.1.2/library","0.0.10",NA,"R (>= 2.10), scales","DiceDesign, dplyr (>= 0.8.5), glue, purrr, rlang, tibble,
utils, vctrs (>= 0.3.1), withr",NA,"covr, kernlab, knitr, rmarkdown, rpart, testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"DiceDesign","DiceDesign","C:/Program Files/R/R-4.1.2/library","1.9",NA,"R (>= 2.10)",NA,NA,"rgl, randtoolbox, lattice",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"dichromat","dichromat","C:/Program Files/R/R-4.1.2/library","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.1"
"diffobj","diffobj","C:/Program Files/R/R-4.1.2/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"digest","digest","C:/Program Files/R/R-4.1.2/library","0.6.28",NA,"R (>= 3.3.0)","utils",NA,"tinytest, knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"directlabels","directlabels","C:/Program Files/R/R-4.1.2/library","2021.1.13",NA,NA,"grid, quadprog",NA,"MASS, knitr, markdown, inlinedocs, RColorBrewer, ggplot2 (>=
2.0), rlang, lattice, alphahull, nlme, lars, latticeExtra,
dplyr, ggthemes, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3"
"DistributionUtils","DistributionUtils","C:/Program Files/R/R-4.1.2/library","0.6-0",NA,"R (>= 3.0.1)",NA,NA,"GeneralizedHyperbolic, VarianceGamma, SkewHyperbolic, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
